Stephen Curry,GSW,45780966,48070014,51915615,55761216,59606817,,Bird Rights,261134628
John Wall,HOU,44310840,47366760,,,,,Bird Rights,44310840
Russell Westbrook,LAL,44211146,47063478,,,,,Bird Rights,44211146
James Harden,PHI,43848000,46872000,,,,,Bird Rights,43848000
LeBron James,LAL,41180544,44474988,,,,,Bird,85655532
Kevin Durant,BRK,40918900,42969845,42969845,49856021,53282609,,Sign and Trade,229997220
Giannis Antetokounmpo,MIL,39344970,42492568,45640165,48787763,51935360,,Bird,176265466
Paul George,LAC,39344970,42492568,45640165,48787763,,,Bird,127477703
Damian Lillard,POR,39344900,42492492,45640084,48787676,,,1st Round Pick,176265152
Kawhi Leonard,LAC,39344900,42492492,45640084,48787676,,,Early Bird,127477476
Klay Thompson,GSW,37980720,40600080,43219440,,,,Bird Rights,121800240
Jimmy Butler,MIA,36016200,37653300,45183960,48798677,52413394,,Sign and Trade,167652137
Tobias Harris,PHI,36000000,38482759,40965517,,,,Bird Rights,115448276
Khris Middleton,MIL,35500000,37948276,40396552,,,,Bird Rights,73448276
Anthony Davis,LAL,35361360,37980720,40600080,43219440,,,Bird,113942160
Rudy Gobert,UTA,35344828,38172414,41000000,43827587,46655173,,Bird,158344829
Kyrie Irving,BRK,34916200,36503300,,,,,Cap space,34916200
Bradley Beal,WAS,34502130,37262300,,,,,Cap Space,34502130
Kristaps Porziņģis,WAS,31650600,33833400,36016200,,,,Bird Rights,65484000
Devin Booker,PHO,31610000,33790000,35970000,,,,1st round pick,101370000
Karl-Anthony Towns,MIN,31610000,33790000,35970000,,,,1st Round Pick,101370000
Jamal Murray,DEN,31590000,33930000,36270000,38610000,,,1st Round pick,140400000
Ben Simmons,BRK,31590000,33930000,36270000,38610000,,,1st Round pick,140400000
Joel Embiid,PHI,31579390,33616770,43732500,47231100,50729700,54228300,1st Round Pick,206889460
Andrew Wiggins,GSW,31579390,33616770,,,,,1st Round Pick,65196160
Pascal Siakam,TOR,31320000,33640000,35960000,,,,1st Round pick,100920000
Kevin Love,CLE,31300000,28900000,,,,,Bird Rights,60200000
CJ McCollum,NOP,30864198,33333333,35802469,,,,1st Round Pick,100000000
Chris Paul,PHO,30800000,28400000,30800000,30000000,,,Bird,75000000
Nikola Jokić,DEN,30510423,32478837,,,,,Bird Rights,62989260
Jrue Holiday,MIL,30133333,32393333,34653333,36913333,,,Bird,97179999
D'Angelo Russell,MIN,30013500,31377750,,,,,Sign and Trade,61391250
Gordon Hayward,CHO,29900000,30100000,31500000,,,,Sign and Trade,91500000
Blake Griffin,DET,32405817,,,,,,,29764126
Brandon Ingram,NOP,29467800,31650600,33833400,36016200,,,Bird,130968000
De'Aaron Fox,SAC,28103550,30351834,32600118,34848402,37096686,,Bird,163000590
Bam Adebayo,MIA,28103550,30351834,32600118,34848402,37096686,,Bird,163000590
Donovan Mitchell,UTA,28103550,30351834,32600118,34848402,37096686,,Bird,125903904
Jayson Tatum,BOS,28103550,30351834,32600118,34848402,37096686,,Bird,125903904
Al Horford,BOS,27000000,26500000,,,,,Cap Space,41500000
Kyle Lowry,MIA,26984128,28333334,29682540,,,,Bird,85000002
Kemba Walker,OKC,8729020,9165471,,,,,,53669500
DeMar DeRozan,CHI,26000000,27300000,28600000,,,,Sign and Trade,81900000
Jaylen Brown,BOS,24830357,26669643,28508929,,,,1st Round pick,80008929
Draymond Green,GSW,24026712,25806469,27586225,,,,Bird Rights,49833181
Nikola Vučević,CHI,24000000,22000000,,,,,Bird Rights,46000000
John Collins,ATL,23000000,23500000,25340000,26580000,26580000,,Bird,125000000
Buddy Hield,IND,22477273,20522727,18568182,,,,1st Round pick,61568182
Malcolm Brogdon,IND,21700000,22600000,21634615,23365385,,,Sign and Trade,89300000
Tim Hardaway Jr.,DAL,21306816,19602273,17897728,16193183,,,Bird,75000000
Mike Conley,UTA,21000000,22680000,24360000,,,,Bird,58000000
Gary Harris,ORL,20482143,,,,,,1st Round Pick,20482143
Danilo Gallinari,ATL,20475000,21450000,,,,,Sign and Trade,25475000
Harrison Barnes,SAC,20284091,18352273,,,,,Bird Rights,38636364
Jarrett Allen,CLE,20000000,20000000,20000000,20000000,20000000,,Bird,100000000
Jerami Grant,DET,20000000,20952381,,,,,Sign and Trade,40952381
Julius Randle,NYK,19800000,23760000,25660800,27561600,29462400,,Cap Space,96782400
Fred VanVleet,TOR,19675926,21250000,22824074,,,,Bird,40925926
Zach LaVine,CHI,19500000,,,,,,Cap space,19500000
Goran Dragić,SAS,19440000,,,,,,,19440000
Bojan Bogdanović,UTA,18700000,19550000,,,,,Cap Space,38250000
Lonzo Ball,CHI,18604651,19534884,20465117,21395348,,,Sign and Trade,58604652
Domantas Sabonis,SAC,18562500,19937500,21312500,,,,1st Round pick,59812500
Eric Gordon,HOU,18218818,19568360,20917902,,,,Cap Space,37787178
Evan Fournier,NYK,18139535,19046512,19953488,20860465,,,Sign and Trade,57139535
Eric Bledsoe,POR,18125000,19375000,,,,,Bird Rights,22025000
Myles Turner,IND,18000000,18000000,,,,,1st Round pick,36000000
Bogdan Bogdanović,ATL,18000000,18000000,18000000,,,,Cap Space,36000000
Terry Rozier,CHO,17905263,21486316,23205221,24924126,26643031,,Sign and Trade,114163957
Ricky Rubio,IND,17809524,,,,,,Cap Space,17809524
Caris LeVert,CLE,17500000,18796296,,,,,1st Round pick,36296296
Jonathan Isaac,ORL,17400000,17400000,17400000,17400000,,,Bird,69600000
Joe Harris,BRK,17357143,18642857,19928571,,,,Bird,55928571
Spencer Dinwiddie,DAL,17142857,18000000,18857143,,,,Sign and Trade,45142857
Clint Capela,ATL,17103448,18206897,20616000,22265280,,,Bird Rights,78191625
Steven Adams,MEM,17073171,17926829,,,,,1st Round Pick,35000000
Markelle Fultz,ORL,16500000,16500000,17000000,,,,Bird,35000000
Aaron Gordon,DEN,16409091,19690909,21266182,22841455,22841455,,Bird Rights,80207637
OG Anunoby,TOR,16071429,17357143,18642857,19928571,,,Bird,52071429
Dāvis Bertāns,DAL,16000000,16000000,17000000,16000000,,,Bird,60000000
Gary Trent Jr.,TOR,16000000,17280000,18560000,,,,Bird,33280000
Lauri Markkanen,CLE,15690909,16475454,17259999,18044544,,,Sign and Trade,55426362
Marcus Morris,LAC,15627907,16372093,17116279,,,,Non Bird,49116279
Duncan Robinson,MIA,15560000,16902000,18154000,19406000,19888000,,Bird,79910000
Norman Powell,LAC,15517242,16758621,18000000,19241379,20482758,,Bird,90000000
Dejounte Murray,SAS,15428571,16571429,17714286,,,,1st Round pick,49714286
Will Barton,DEN,15384615,16615385,,,,,Bird,32000000
Derrick White,BOS,15178571,16392857,17607143,18821429,,,Bird,68000000
Taurean Prince,MIN,15057692,,,,,,1st Round pick,15057692
Malik Beasley,MIN,14391964,15458035,16524106,,,,Bird,29849999
Marcus Smart,BOS,14339285,16607142,18583713,19960285,21336856,,Bird Rights,90827281
Patrick Beverley,MIN,14320988,13000000,,,,,Bird Rights,27320988
Thaddeus Young,TOR,14190000,,,,,,Cap space,14190000
Jonas Valančiūnas,NOP,14000000,14700000,15435000,,,,Bird Rights,44135000
Joe Ingles,POR,14000000,,,,,,Bird Rights,14000000
Doug McDermott,SAS,13750000,13750000,13750000,,,,Sign and Trade,41250000
Christian Wood,HOU,13666667,14317459,,,,,Sign and Trade,27984126
Derrick Rose,NYK,13445120,14520730,15596339,,,,Early Bird,27965850
Brook Lopez,MIL,13302325,13906976,,,,,Cap Space,27209301
Kentavious Caldwell-Pope,WAS,13038862,14004703,,,,,Early Bird,17926980
Kyle Kuzma,WAS,13000000,13000000,13000000,,,,Bird,26000000
Robert Covington,LAC,12975471,,,,,,Cap Space,12975471
Luke Kennard,LAC,12727273,13745455,14763636,14763636,,,Bird,41236364
T.J. Warren,IND,12690000,,,,,,1st Round Pick,12690000
Deandre Ayton,PHO,12632950,,,,,,1st Round Pick,12632950
Terrence Ross,ORL,12500000,11500000,,,,,Bird Rights,24000000
Jordan Clarkson,UTA,12420000,13340000,14260000,,,,Bird,25760000
Dillon Brooks,MEM,12200000,11400000,,,,,MLE,23600000
Kelly Olynyk,DET,12195122,12804878,12195122,,,,Cap Space,28000000
Kelly Oubre Jr.,CHO,12000000,12600000,,,,,Cap Space,17000000
Josh Hart,POR,12000000,12960000,12960000,,,,Bird,12000000
Jusuf Nurkić,POR,12000000,,,,,,Bird Rights,4000000
Josh Richardson,SAS,11600000,12384672,,,,,Minimum Salary,23984672
Marvin Bagley III,DET,11312114,,,,,,1st Round Pick,11312114
Devonte' Graham,NOP,11000000,11550000,12100000,12650000,,,Sign and Trade,37500000
Dwight Powell,DAL,11000000,11814815,,,,,Cap Space,22814815
Zion Williamson,NOP,10733400,13534817,,,,,1st Round Pick,10733400
Larry Nance Jr.,NOP,10690909,9672727,,,,,1st Round pick,20363636
Jeremy Lamb,SAC,10500000,,,,,,Cap Space,10500000
Richaun Holmes,SAC,10384500,11215260,12046020,12876780,,,Early Bird,33645780
Reggie Jackson,LAC,10384500,11215260,,,,,Early Bird,21599760
Anthony Edwards,MIN,10245480,10733400,13534817,,,,1st Round Pick,20978880
Luka Dončić,DAL,10174391,35700000,38556000,41412000,44268000,47124000,1st Round Pick,217234391
Cade Cunningham,DET,10050120,10552800,11055240,13940658,,,1st Round Pick,20602920
Danny Green,PHI,10000000,10000000,,,,,Early Bird,10000000
Tomáš Satoranský,SAS,10000000,,,,,,Sign and Trade,5000000
Kyle Anderson,MEM,9937150,,,,,,MLE,9937150
